Date,1M,3M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,6M,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y,41Y,42Y,43Y,44Y,45Y,46Y,47Y,48Y,49Y,50Y
2005-09-30 00:00:04,2.575933,2.872267,3.536898,4.391318,4.746,4.848517,4.941047,5.013733,5.104528,5.16096,5.251645,5.318795,5.383857,5.465017,5.554611,5.650071,5.711477,5.750118,5.780429,,,3.260072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-31 00:00:04,3.257956,3.387117,4.087042,5.150649,5.49952,5.810095,6.041467,6.235217,6.41383,6.445889,6.515764,6.584423,6.612307,6.647939,6.687056,6.750561,6.789548,6.814345,6.8378,,,3.972965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-30 00:00:04,3.598536,3.724369,4.358485,5.19326,5.443132,5.568551,5.699348,5.812672,5.899457,5.931028,5.975327,6.065844,6.113247,6.182795,6.24476,6.303291,6.351098,6.386841,,,,4.007252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31 00:00:04,3.765378,3.929163,4.506648,4.95065,5.103846,5.162654,5.253145,5.291723,5.344482,5.370401,5.413472,5.474683,5.516508,5.576185,5.617304,5.647725,5.711185,5.767869,,,,4.140117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-31 00:00:04,3.853924,3.960901,4.485688,4.882831,4.979458,5.049119,5.169273,5.253907,5.319584,5.387821,5.455833,5.520585,5.582536,5.622937,5.675284,5.731231,5.767192,5.796735,,,,4.100114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-28 00:00:04,3.925075,4.024384,4.481496,4.932733,4.979868,5.009301,5.066545,5.093011,5.117238,5.188921,5.256607,5.305115,5.393434,5.440149,5.492724,5.541991,5.606509,5.630947,,,,4.148689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31 00:00:04,4.295689,4.57306,4.965835,5.232345,5.266564,5.300416,5.350026,5.37966,5.437469,5.492531,5.53873,5.587013,5.667174,5.734979,5.796674,5.858669,5.917922,5.979204,,,,4.681578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-30 00:00:04,4.565505,4.743878,5.085697,5.271478,5.319385,5.352095,5.389378,5.417106,5.448756,5.4956,5.532444,5.55385,5.63401,5.712519,5.784962,5.835616,5.923972,5.961862,,,,4.85216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31 00:00:04,4.764008,4.837313,5.082445,5.266225,5.307342,5.331032,5.356518,5.378362,5.397343,5.427221,5.441678,5.452483,5.50546,5.565649,5.635305,5.68,5.728183,5.75239,,,,4.86016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30 00:00:04,4.808218,4.967696,5.219414,5.398227,5.459252,5.495,5.524296,5.550912,5.574702,5.620866,5.649226,5.667128,5.713283,5.746194,5.785003,5.833105,5.885749,5.899281,,,,5.125893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-31 00:00:04,4.902105,4.926046,5.191006,5.319277,5.351099,5.378889,5.406533,5.427957,5.446,5.472749,5.481627,5.492297,5.557874,5.587099,5.620534,5.654566,5.72192,5.748443,5.775912,5.803758,5.831604,5.042173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31 00:00:04,4.847333,4.896354,5.08976,5.174,5.197053,5.212713,5.22771,5.239698,5.250356,5.269832,5.283187,5.294662,5.344584,5.371622,5.397009,5.426612,5.475599,5.494544,5.515441,5.536826,5.558211,4.987669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30 00:00:04,4.924854,4.950342,4.932372,5.023771,5.046485,5.068993,5.093174,5.114125,5.137433,5.16083,5.177674,5.197592,5.228893,5.256799,5.289541,5.304369,5.328112,5.336231,5.342682,5.348922,5.355162,4.938737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-31 00:00:04,4.915375,4.943593,4.90518,4.95948,4.971225,5.003803,5.029235,5.049071,5.066439,5.101322,5.12905,5.158181,5.191174,5.221101,5.254047,5.282124,5.311955,5.324585,5.336661,5.348719,5.360776,4.9485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-30 00:00:04,4.818421,4.804591,4.744046,4.72472,4.694071,4.694,4.694,4.681961,4.672835,4.695852,4.720446,4.773143,4.836504,4.891447,4.935679,4.944901,4.972391,4.988323,4.994875,5.001427,5.007979,4.784156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31 00:00:04,4.957911,4.94528,4.923076,5.005443,5.032695,5.071197,5.10201,5.133136,5.19994,5.280941,5.345371,5.447067,5.560291,5.634208,5.694849,5.736326,5.811678,5.861806,5.909581,5.957356,6.005131,4.925165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31 00:00:04,4.726606,4.638662,4.548562,4.587975,4.586085,4.598764,4.60798,4.626307,4.654978,4.697278,4.721606,4.740781,4.819333,4.891455,4.953008,4.972616,5.019291,5.042633,5.054645,5.066657,5.078669,4.596144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-28 00:00:04,4.586765,4.469043,4.368273,4.350153,4.333404,4.357948,4.378179,4.387576,4.419353,4.444755,4.46208,4.487679,4.520527,4.584427,4.624451,4.668621,4.705072,4.726781,4.740041,4.753301,4.766561,4.404418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31 00:00:04,4.03402,3.890035,3.856768,3.851408,3.883156,3.95675,4.010239,4.049134,4.093162,4.161516,4.226597,4.28915,4.356379,4.448903,4.498337,4.536043,4.579905,4.598168,4.612842,4.627516,4.64219,3.845101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04-30 00:00:04,3.607238,3.526884,3.482701,3.510326,3.537937,3.579749,3.606474,3.628515,3.672563,3.736071,3.816262,3.866763,3.958039,4.075352,4.158096,4.26105,4.283603,4.305968,4.329306,4.378647,4.427989,3.501512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
