Date,Open,High,Low,Close,Volume
1996-06-30,1239.17,1239.17,1239.17,1239.17,
1996-07-31,1064.04,1064.04,1064.04,1064.04,
1996-08-31,1086.23,1086.23,1086.23,1086.23,
1996-09-30,1099.01,1099.01,1099.01,1099.01,
1996-10-31,910.33,910.33,910.33,910.33,
1996-11-30,920.63,920.63,920.63,920.63,
1996-12-31,803.13,803.13,803.13,803.13,
1997-01-31,788.04,788.04,788.04,788.04,
1997-02-28,727.56,727.56,727.56,727.56,
1997-03-31,705.43,705.43,705.43,705.43,
1997-04-30,661.29,661.29,661.29,661.29,
1997-05-31,563.35,563.35,563.35,563.35,
1997-06-30,527.28,527.28,527.28,527.28,
1997-07-31,679.89,683.46,662.04,665.62,
1997-08-31,500.0,502.39,492.4,493.84,
1997-09-30,547.42,547.81,541.71,544.54,
1997-10-31,441.37,449.38,434.1,447.21,
1997-11-30,393.89,393.89,385.13,387.56,
1997-12-31,366.2,372.69,366.2,372.69,
1998-01-31,506.4,560.2,506.4,554.75,
1998-02-28,530.73,538.17,529.84,538.17,
1998-03-31,462.81,467.73,457.29,459.11,
1998-04-30,412.75,415.0,409.48,412.13,
1998-05-31,323.77,323.77,310.32,313.04,
1998-06-30,271.22,271.62,266.5,267.33,
1998-07-31,267.8,270.02,264.72,266.72,
1998-08-31,214.98,214.98,210.22,214.53,
1998-09-30,255.56,258.23,253.37,253.82,
1998-10-31,337.47,339.51,327.78,334.93,
1998-11-30,372.0,374.23,360.84,361.14,
1998-12-31,355.27,359.44,353.98,356.68,
1999-01-31,362.05,365.28,357.79,358.84,
1999-02-28,341.6,347.56,337.71,338.82,
1999-03-31,358.43,360.61,351.88,352.01,
1999-04-30,445.82,459.35,443.13,459.35,
1999-05-31,454.44,464.33,451.8,461.79,
1999-06-30,521.59,531.29,515.52,521.77,
1999-07-31,455.45,459.06,451.5,452.61,
1999-08-31,443.83,443.83,433.38,440.27,
1999-09-30,393.08,398.36,389.43,389.49,
1999-10-31,399.82,401.57,391.04,391.55,
1999-11-30,421.33,426.06,420.72,422.12,
1999-12-31,490.32,499.52,490.01,498.46,
2000-01-31,474.4,480.2,472.75,477.57,
2000-02-29,392.21,394.79,374.32,374.32,
2000-03-31,397.12,401.01,396.67,400.32,
2000-04-30,390.77,391.25,385.44,385.44,
2000-05-31,310.62,328.36,310.62,323.29,
2000-06-30,323.03,325.69,322.9,325.69,
2000-07-31,290.77,290.77,282.82,284.67,
2000-08-31,309.36,310.07,305.58,307.83,
2000-09-30,275.78,277.45,275.5,276.69,
2000-10-31,271.5,272.67,268.89,271.84,
2000-11-30,283.68,283.75,277.92,277.92,
2000-12-31,268.89,272.27,268.85,272.03,
2001-01-31,326.59,332.77,323.02,332.77,
2001-02-28,327.48,328.43,325.2,325.2,
2001-03-31,291.21,291.72,289.38,290.11,
2001-04-30,297.25,302.16,297.25,300.63,
2001-05-31,309.57,312.07,307.59,310.13,
2001-06-30,323.23,324.65,322.02,322.45,
2001-07-31,298.56,299.33,295.4,297.69,
2001-08-31,332.55,336.58,330.93,335.57,
2001-09-30,277.25,277.25,273.09,273.09,
2001-10-31,273.88,275.19,273.27,275.09,
2001-11-30,299.76,303.37,299.76,302.62,
2001-12-31,303.85,305.2,302.38,305.19,
2002-01-31,340.4,345.48,340.4,340.82,
2002-02-28,375.58,376.85,370.22,371.81,
2002-03-31,373.97,375.52,370.36,375.52,
2002-04-30,371.12,372.7,368.89,371.42,
2002-05-31,407.84,410.71,404.77,407.96,
2002-06-30,388.12,390.78,387.31,390.78,
2002-07-31,374.12,376.36,373.02,376.02,
2002-08-31,361.16,361.16,356.84,357.36,
2002-09-30,335.55,335.55,330.98,331.79,
2002-10-31,356.32,357.6,354.28,357.22,
2002-11-30,364.9,366.8,362.97,366.67,
2002-12-31,356.45,356.68,351.32,351.52,
2003-01-31,370.3,370.3,368.87,370.01,
2003-02-28,358.89,361.52,358.89,361.32,
2003-03-31,367.95,367.95,363.87,364.55,
2003-04-30,372.92,375.91,372.4,374.63,
2003-05-31,403.82,407.97,403.82,404.78,
2003-06-30,457.51,461.92,457.24,461.82,
2003-07-31,475.39,484.11,475.39,484.11,
2003-08-31,543.36,546.87,540.69,545.23,
2003-09-30,584.56,585.23,576.12,578.98,
2003-10-31,624.37,639.45,624.37,639.45,
2003-11-30,646.03,650.31,641.15,641.15,
2003-12-31,764.23,776.78,764.23,772.15,
2004-01-31,698.9,702.93,666.57,667.33,
2004-02-29,716.3,721.72,704.53,705.25,
2004-03-31,648.6,652.48,636.81,647.3,
2004-04-30,650.09,651.83,641.84,648.15,
2004-05-31,627.31,641.05,625.83,641.05,
2004-06-30,654.12,656.32,646.64,646.64,
2004-07-31,636.83,636.83,630.81,630.81,
2004-08-31,612.45,624.87,612.45,624.59,
2004-09-30,636.57,645.95,636.57,644.67,
2004-10-31,629.71,629.76,626.55,626.96,
2004-11-30,656.86,658.92,653.84,656.73,
2004-12-31,672.4,684.59,671.47,684.48,
2005-01-31,701.66,705.23,701.36,701.91,
2005-02-28,743.36,746.1,735.08,741.55,
2005-03-31,678.3,682.74,678.3,681.49,
2005-04-30,662.79,669.72,662.79,669.72,
2005-05-31,668.23,668.23,661.17,667.55,
2005-06-30,686.29,687.06,675.5,675.5,
2005-07-31,677.15,677.52,670.27,674.99,
2005-08-31,693.73,698.85,692.39,697.85,
2005-09-30,724.43,725.08,719.53,723.23,
2005-10-31,683.26,683.67,678.87,682.62,
2005-11-30,670.58,670.58,665.73,667.75,
2005-12-31,713.8,725.64,713.8,725.64,
2006-01-31,758.96,762.91,758.03,762.63,
2006-02-28,746.53,750.27,743.01,744.05,
2006-03-31,731.14,735.52,730.83,733.25,
2006-04-30,770.86,773.65,766.96,768.26,
2006-05-31,710.36,710.36,698.3,709.43,
2006-06-30,679.39,683.75,678.13,678.13,
2006-07-31,693.62,695.54,690.11,691.49,
2006-08-31,687.43,692.28,685.9,690.9,
2006-09-30,687.68,688.06,680.94,683.84,
2006-10-31,719.56,724.97,718.78,722.46,
2006-11-30,737.26,742.3,737.26,739.06,
2006-12-31,677.55,677.55,653.14,659.25,
2007-01-31,654.98,656.78,652.94,654.04,
2007-02-28,667.46,677.13,665.04,677.13,
2007-03-31,673.71,681.28,673.71,679.62,
2007-04-30,695.3,699.16,694.25,699.16,
2007-05-31,742.31,754.76,741.28,753.93,
2007-06-30,779.94,793.08,778.81,792.71,
2007-07-31,867.83,869.85,854.99,859.76,
2007-08-31,794.24,813.21,792.0,813.21,
2007-09-30,844.93,855.35,842.98,852.47,
2007-10-31,906.66,911.64,894.02,907.28,
2007-11-30,845.29,851.39,838.85,846.44,
2007-12-31,858.74,860.69,842.97,842.97,
2008-01-31,764.53,787.74,760.75,784.23,
2008-02-29,839.9,850.18,836.3,845.76,
2008-03-31,825.49,825.49,817.03,817.03,
2008-04-30,832.74,834.02,831.1,832.45,
2008-05-31,825.42,828.78,809.7,810.22,
2008-06-30,779.15,781.97,765.51,768.59,
2008-07-31,674.32,679.65,669.17,676.32,
2008-08-31,678.54,678.99,673.97,675.22,
2008-09-30,568.18,599.16,568.18,596.54,
2008-10-31,403.47,421.7,402.64,416.53,
2008-11-30,403.95,410.62,390.92,390.92,
2008-12-31,460.39,478.69,459.57,478.69,
2009-01-31,437.29,437.88,427.85,427.85,
2009-02-28,428.86,428.95,415.32,416.52,
2009-03-31,430.59,433.13,429.61,431.5,
2009-04-30,490.42,494.07,487.42,491.69,
2009-05-31,568.9,579.98,567.15,579.98,
2009-06-30,610.69,610.69,596.18,597.48,
2009-07-31,628.25,629.41,621.7,624.0,
2009-08-31,653.41,655.82,650.84,653.25,
2009-09-30,709.15,717.48,708.44,717.07,
2009-10-31,673.5,677.22,667.52,677.22,
2009-11-30,688.24,691.89,686.45,689.07,
2009-12-31,736.66,737.14,725.65,732.28,
2010-01-31,692.66,697.61,685.69,697.61,
2010-02-28,724.57,733.19,723.71,733.19,
2010-03-31,791.2,799.06,787.98,787.98,
2010-04-30,758.73,763.51,757.41,763.51,
2010-05-31,742.49,750.43,742.49,750.43,
2010-06-30,794.89,802.76,794.54,797.31,
2010-07-31,861.16,864.59,860.47,863.18,
2010-08-31,908.54,913.19,900.75,913.19,
2010-09-30,972.47,976.08,968.3,975.3,
2010-10-31,992.39,1003.24,991.9,1003.24,
2010-11-30,1006.64,1010.65,1002.43,1005.12,
2010-12-31,1042.73,1048.8,1040.06,1042.41,
2011-01-31,966.56,970.61,962.95,964.1,
2011-02-28,980.61,987.91,980.61,987.91,
2011-03-31,1054.88,1056.52,1046.47,1047.48,
2011-04-30,1092.53,1094.81,1065.94,1070.43,
2011-05-31,1080.23,1082.13,1070.51,1073.83,
2011-06-30,1041.13,1041.92,1036.48,1041.48,
2011-07-31,1143.47,1148.28,1141.17,1144.14,
2011-08-31,1055.5,1070.05,1055.03,1070.05,
2011-09-30,930.12,933.48,914.82,916.21,
2011-10-31,976.54,981.83,969.85,974.75,
2011-11-30,991.75,997.71,988.99,995.33,
2011-12-31,1036.14,1041.83,1034.02,1036.21,
2012-01-31,1079.82,1083.97,1073.69,1083.97,
2012-02-29,1150.16,1160.9,1149.65,1160.9,
2012-03-31,1195.96,1203.03,1195.21,1199.09,
2012-04-30,1218.1,1228.49,1217.91,1228.49,
2012-05-31,1127.82,1143.92,1123.26,1141.5,
2012-06-30,1185.16,1190.03,1181.48,1188.74,
2012-07-31,1198.8,1199.74,1189.38,1199.3,
2012-08-31,1213.17,1227.48,1211.38,1227.48,
2012-09-30,1295.31,1303.73,1294.97,1299.71,
2012-10-31,1294.54,1300.13,1291.89,1298.87,
2012-11-30,1314.33,1328.27,1313.68,1324.04,
2012-12-31,1401.39,1411.58,1400.95,1407.45,
2013-01-31,1487.07,1491.02,1471.4,1474.2,
2013-02-28,1529.0,1541.68,1518.98,1541.58,
2013-03-31,1562.71,1563.1,1549.33,1549.55,
2013-04-30,1593.13,1597.86,1586.45,1597.86,
2013-05-31,1589.59,1595.12,1555.23,1562.07,
2013-06-30,1464.76,1475.08,1452.77,1463.98,
2013-07-31,1436.56,1437.39,1403.08,1423.14,
2013-08-31,1298.99,1323.7,1296.35,1323.7,
2013-09-30,1398.77,1399.27,1381.26,1383.16,
2013-10-31,1422.43,1442.88,1418.87,1442.88,
2013-11-30,1358.89,1374.46,1351.67,1374.26,
2013-12-31,1291.93,1292.77,1230.77,1230.77,
2014-01-31,1267.83,1274.5,1266.78,1274.28,
2014-02-28,1318.26,1326.64,1314.27,1325.33,
2014-03-31,1373.54,1378.39,1371.35,1376.26,
2014-04-30,1413.74,1419.38,1412.64,1414.94,
2014-05-31,1424.81,1441.92,1423.57,1440.94,
2014-06-30,1488.92,1493.14,1484.62,1485.75,
2014-07-31,1513.92,1525.34,1501.36,1502.39,
2014-08-31,1568.38,1571.74,1565.08,1565.35,
2014-09-30,1586.18,1592.79,1581.17,1585.67,
2014-10-31,1570.97,1584.35,1567.27,1584.16,
2014-11-30,1590.89,1598.05,1586.37,1593.82,
2014-12-31,1499.7,1502.1,1482.87,1483.25,
2015-01-31,1577.65,1583.99,1571.69,1582.7,
2015-02-28,1588.14,1590.02,1573.64,1582.14,
2015-03-31,1502.25,1509.33,1498.89,1505.94,
2015-04-30,1520.55,1531.5,1520.01,1526.74,
2015-05-31,1492.45,1494.19,1476.28,1476.87,
2015-06-30,1510.18,1512.65,1499.15,1504.55,
2015-07-31,1424.01,1440.12,1423.14,1440.12,
2015-08-31,1367.81,1382.41,1364.34,1382.41,
2015-09-30,1353.06,1356.62,1348.24,1349.0,
2015-10-31,1395.63,1413.57,1395.35,1413.34,
2015-11-30,1360.72,1369.99,1354.1,1359.7,
2015-12-31,1286.26,1286.36,1260.96,1263.41,
2016-01-31,1300.85,1308.26,1293.27,1297.34,
2016-02-29,1342.43,1343.94,1331.57,1332.37,
2016-03-31,1406.85,1412.92,1402.01,1407.7,
2016-04-30,1403.53,1409.92,1397.12,1397.87,
2016-05-31,1427.29,1428.29,1420.19,1424.28,
2016-06-30,1450.55,1452.08,1436.68,1444.99,
